Title,CompanyDetails,JobDetails,JobDescription,JobSkills
Data and Reports Analyst,"Dynata · Davao, Davao Region, Philippines Reposted 1 week ago · 171 applicants",Full-time Mid-Senior level,"About the job
Responsibilities for Reporting Analyst

Design business analysis and data recording systems for use throughout the department
Maintain databases and perform updates as necessary to ensure accuracy
Regularly examine data reports to locate and resolve mistakes throughout
Accurately analyze and collect data for various types of business reports
Create business reports that provide insight into key data points
Communicate the results of data analysis in written and verbal form to managers
Support various departments, including marketing and sales, in reaching their goals through analysis
Monitor data to identify changes in financial and business trends

Qualifications For Reporting Analyst

One to three years of experience as a financial or business analyst
Experience in SAP, object-oriented programming and other data analysis programs
Analytical skills that allow for the development of data-driven reports
Demonstrated ability to manage time and prioritize projects to meet deadlines
Ability to use SQL and Microsoft Excel to create pivot tables, graphs and charts
Strong written and verbal communication skills to effectively relate data to coworkers
Excellent critical thinking skills to help solve business problems and make decisions
Tendency to pay close attention to small details that could impact results
General knowledge of business operations, objectives, strategies, process and information flow

We Offer The Following Perks To Our Successful Applicants

 Competitive Compensation Package
 Free Shift Meals
 Performance Based- Bonuses *
 Paid Vacation and Sick Leaves *
 Rice and Transportation Allowance *
 Free Medical and Dental Benefits *
upon regularization

Dynata is one of the world’s leading single providers of first-party data contributed by people who opt-in to member-based panels that the company manages and maintains. With a reach that encompasses 60+ million people globally and an extensive library of individual profile attributes collected through surveys, Dynata is the cornerstone for precise, trustworthy quality data. The company has built innovative data services and solutions around this core asset to bring the voice of the individual to the entire marketing spectrum, from market research to marketing and advertising. Dynata serves nearly 6,000 market research agencies, media and advertising agencies, consulting & investment firms and healthcare and corporate customers in the Americas, Europe, and Asia-Pacific.","Data Analysis,Critical Thinking
Add,Data Analytics
Add,Decision-Making
Add,Object-Oriented Programming (OOP)
Add,Pivot Tables
Add,SAP ERP
Add,SAP FICO
Add,Statutory Accounting Principles (SAP)
Add,Thinking Skills
Add,"
Data Analyst,"Arcadis · Makati, National Capital Region, Philippines 1 week ago · 86 applicants",Hybrid Full-time Mid-Senior level,"About the job
Role description:
Mainly provides support in data management, reporting, and administrative tasks on main platforms like Oracle Sales Cloud (OSC), Collaboration Hub, and other databases as needed. 

Role accountabilities:
FOCUS:
Design and develop custom PowerApps applications tailored to business requirement.
Create automated workflows using Power Automate to streamline processes and increase efficiency.
Collaborate with business stakeholders to gather and understand user requirements.
Translate business needs into technical specifications for Power Platform solutions.
Data Analysis (if applicable):
Analyze large amounts of complex data to provide the business with fact-based insights
Identify, analyze, and interpret trends or patterns in complex data sets
Identify problematic areas with the data and research to determine the best course of action to correct the data
Develop weekly, monthly, and quarterly Sales Pipeline Report from Oracle Sales Cloud
Develop dashboards
Help translate data into visualizations, metrics, and goals
Descriptive and predictive analytics
Contribute, participate, and support continuous process improvement activities
Perform ad hoc duties as required

Qualifications & Experience:
Bachelor’s degree in computer science, Information Technology, or related field (or equivalent experience).
At least 1 year proven working experience as a data analyst.
Proficient in Power Apps and Power Automate
Familiarity with programming languages such as Power Query, DAX, JavaScript, and JSON.
Experience with data modeling, connectors, and data transformations.

Why Arcadis?
We can only achieve our goals when everyone is empowered to be their best. We believe everyone's contribution matters. It’s why we are pioneering a skills-based approach, where you can harness your unique experience and expertise to carve your career path and maximize the impact we can make together.
You’ll do meaningful work, and no matter what role, you’ll be helping to deliver sustainable solutions for a more prosperous planet. Make your mark, on your career, your colleagues, your clients, your life and the world around you.
Together, we can create a lasting legacy.

Our Commitment to Equality, Diversity, Inclusion & Belonging
We want you to be able to bring your best self to work every day, which is why we take equality and inclusion seriously and hold ourselves to account for our actions. Our ambition is to be an employer of choice and provide a great place to work for all our people.

Join Arcadis. Create a legacy!
#JoinArcadis
#CreateALegacy
#Hybrid","Data Analysis,Analytical Skills
Add,DAX
Add,Data Analytics
Add,Data Modeling
Add,JSON
Add,JavaScript
Add,Microsoft Power Apps
Add,Microsoft Power Automate
Add,Microsoft Power Query
Add,"
Data Analyst - People Services,"GHD · Cebu, Central Visayas, Philippines Reposted 1 day ago · 34 applicants",Hybrid Full-time Mid-Senior level,"About the job
Job Description

At GHD, we don’t just believe in the power of commitment, we live and breathe it every day.

That’s why we pledge to empower all of our people to make a positive impact. Combining our dep technical expertise with the capabilities of our clients and partners, we respond to some of the most complex challenges facing our planet today.

We are seeking for a Data Analyst -People Services to support the Shared Services Team for GHD globally. You will undertake the analysis for reporting requests and translates them into technical requirements. Manage the creation, testing and validation of new analytics and supports reporting needs driven by compliance and regulation.

What will you do in the role?

Assists in the design and development of HR reports using Oracle and PowerBI
Undertakes the analysis for reporting requests and translates them into technical requirements
Performs gap and impact analysis between available reports and requests received
Provides solution alternatives and recommendations to limit the development of new reports 
Reviews data quality dashboards with HR leadership regularly and prioritizes areas of ongoing data quality attention with HR Business Partners and other members of the HR team
Train HR data contributors to ensure they have a proper understanding of data quality requirements and of the consequences of poor data quality
Cleanses the HR Data from multiple sources and verify the data integrity for analysis
Audits data flows to all dependent systems to ensure data integrity
Works cross functionally with the business in analyzing data, solving problems, document workflows and procedures to ensure the HRIS system runs smoothly and consistently globally

We’re looking for someone who: 

Bachelor’s degree or equivalent combination of education and work experience
Experience in Oracle is preferred
Minimum of 3 to 5 years of relevant data analytics experience
Knowledgeable in using PowerBI tool
Mastery in MS office, reporting tools/platforms and competency in business management and presentation tool
Knowledge with statistical modelling and descriptive statistics
Project management skills with the ability to lead intermediate to high level HR analytics related project

Work schedule: Monday to Friday – shifting schedule

The position is open to be assigned in Makati, Quezon City and Cebu City Office, depending on your location and preference.

Applicants must be a Filipino citizen or have the right to work in the Philippines.

Please note, we have an office shutdown period from Monday 25th December 2023 – Friday 5th January 2024, reopening Monday 8th January 2024. We anticipate being able to respond to your application after this time.","Analytics
Add,Change Impact Analysis
Add,Data Analytics
Add,Data Integrity
Add,Data Quality
Add,HR Analytics
Add,Presentations
Add,Statistical Modeling
Add,Tagalog
Add,Technical Requirements
Add,"
Insights Analyst,"Isentia · Pasig, National Capital Region, Philippines 1 week ago · 42 applicants",Hybrid Full-time Associate,"About the job
Isentia is the Asia-Pacific region's leading media intelligence company. Through our talented people, innovative search technology, comprehensive coverage, and expert research, we provide award-winning tools and insights to our clients so that they can manage both their offline and online media effectively. Our solutions have helped clients in their corporate communications, public relations, marketing, branding, and consumer insights efforts.
 
We are urgently looking for an Insights Analyst in Manila who will produce carefully written and constructed business reports that provide in-depth analysis of available data for better communications, marketing, and brand management.
 
An Insights Analyst will be working under the guidance of Insights Managers and Research Managers to manage a daily, weekly, and monthly schedule ranging from data quality assurance and reports writing to client presentations.
 
Job Responsibilities:

Scrutinize, analyze, and organize data from various sources, including news and social media. Interpret data using appropriate methodologies to create well-written reports. 
Confidently present report findings on a periodic basis, and at times, analysis frameworks for pitches, in front of stakeholders and decision-makers.
Manage projects effectively and maintain a consistent output of reports, while maintaining a high level of accuracy and keeping to strict client deadlines. 
Collaborate with the account management and new business team, alongside clients, to craft strategic Project Briefs aligned with client interests and objectives. 
Ensure data analysis is completed with a high standard of quality through various methodologies and processes. Must have a strong working knowledge of Microsoft Office applications, especially Excel and PowerPoint.
Provide support to other Insights Analysts, Data Analysts, and Data Assessors in accessing, understanding, entering, and performing quality control checks on data. Support the team and perform other duties as assigned by the Insights Manager, which may include content pieces and whitepapers, among others. 

Job Qualifications:

Must be a College Graduate with a Bachelor's in Mass Communication, Journalism, Business Analyst, Data Analytics, Statistics, Mathematics, Research, Marketing, or any other related courses.
Has 2 years or more experience in data interpretation, research, project management, media landscape, and news and current affairs.
Fresh graduates are welcome to apply.
Candidates must be passionate about media analysis and research. They should have a strong focus on professional development, excellent teamwork, client focus, a positive and proactive attitude, a solution focus, and adaptability to change and innovation.
Knowledgeable in advanced Microsoft Excel, MS Word, MS Outlook, MS PowerPoint, Analysis Tools, G-Suite, and other new technology.
Has excellent written and verbal English communication skills.
Knowledgeable in research techniques and analytical ability.
Permanent Full-time: 1
Working Setup: Hybrid Setup (once in a month)
Working Schedule: Monday to Friday (Flexible working hours between 7 am to 11 am, as long as the candidate completes the 8 hours shift) 
Can start as soon as possible.
Willing to be assigned in Ortigas, Pasig City.

Recruitment process & Package:

Shortlisted candidates will be required to undertake a technical test.
Candidates who aced the technical test will be invited for 1-2 interviews.
Regularization will be granted after successfully completing a 6-month probation period.
The role comes with a competitive salary package, incentives, allowances, training, HMO, and other company benefits.","Data Analysis,Google Sheets
Add,Google Workspace
Add,Market Analysis
Add,Microsoft Excel
Add,Microsoft Office
Add,Microsoft PowerPoint
Add,Research Skills
Add,"
Risk Data Analyst l Day Shift,"MicroSourcing · National Capital Region, Philippines 6 days ago · 89 applicants",Remote Full-time Mid-Senior level,"About the job
With over 8,000 professionals across 12 delivery centers in the Philippines, MicroSourcing remains the country’s largest offshoring solutions provider.

Risk Data Analyst, be 100% YOU with MicroSourcing!
 A Risk Data Analyst is expected to:
Provide insights and data analytics support, encompassing statistical reports and handling ad-hoc requests.
Apply various analysis techniques to identify performance and process improvements, including funnel optimization and increased accuracy of rules for risk management.
Conduct in-depth investigations to identify potential fraud through internal Transaction Monitoring Systems (TMS). This involves gathering evidence, reviewing documents, analyzing transactions, and identifying suspicious activities to minimize business losses. Understanding fraud alerts contributes to suggesting improvements in our risk tooling and workflow.

What it takes to be part of our team:
2+ years of hands-on experience as a Data Analyst.
Highly proficient in SQL, with a strong ability to interpret data and translate insights into actionable outcomes and business decisions.
Bonus points for previous experience as a Fraud/AML investigator.

What's in it for you?
Competitive Total Rewards (Compensation, HMO, Group Life Insurance, and Performance bonuses)
A very collaborative work culture
Work From Home

Find a balance between work and life that fits you. Do what you do best with MicroSourcing!

For more information, visit https://www.microsourcing.com/
*Terms & Conditions apply","Data Analysis,Fraud Analysis
Add,Risk Analysis
Add,SQL
Add,"
Junior Data Analyst - Quantitative Data Analysis Team,"ISS | Institutional Shareholder Services · Makati, National Capital Region, Philippines 1 week ago · 50 applicants",Hybrid Full-time Entry level,"About the job
Let’s be #BrilliantTogether

Overview

ISS Governance Services division, the world’s leading provider of proxy voting and corporate governance solutions, is immediately seeking a Data Analyst under Quantitative Data Analysis Team in Manila.

The Jr. Data Analyst will be responsible for the Automated Data Operations function of ISS which includes manual and automated data collection of executive compensation data from financial statements. The Jr. Data Analyst may also support client projects to advance the ISS business, and participate in data mining projects to identify trends and anomalies for marketing and research purposes. The Jr. Data Analyst will also be responsible for monitoring and resolving data-related support requests from clients.

Responsibilities

Extract, collect and screen press release, ad-hoc news of companies in QS universe and route the said information source to the appropriate team
Ensure timely update of QS pillars in relation to Audit, Board, Shareholder Rights and Compensation in accordance with established production schedules.
Drive operational efficiencies through optimized search queries and similarly available technologies.
Maintain records on performance metrics (timeliness, efficiency, quality).
Participate in review the overall science of our services and other projects

Qualifications

Bachelor’s Degree in Computer Science/Programming, Statistics, Communications Research or any business related course
Fresh graduates or 1 – 2 years of relevant experience in business analytics or data operations preferably financial data, analyzing financial statements, financial metrics, and compensation structures is a plus
Relevant experience in MS Excel VBA programming integrating with MS SQL, MS Access, XML and ADO.
Experience in web scraping tools and technology is a major plus
Demonstrated success in improving data quality and efficient data collections
Strong detail-orientation a necessity
General research skills, strong analytical skills, and the ability to document complex processes
Multi-tasking ability, including ability to be effective on multiple projects at one time
Strong problem-solving skills, and ability to follow-through independently
Self-motivated and able to work independently under minimal supervision
A strong work ethic and personal drive to achieve project goals 

#ENTRYLEVEL

What You Can Expect From Us

Our people are the moving force behind ISS. We are dedicated to hiring the best, most talented people in our industry and empowering them with the resources and support to enhance their career, health, financial and personal well-being.

We are committed to fostering, cultivating, and preserving a culture of diversity and inclusion. We are invested in our people and are working every day to ensure a diverse, equitable, and inclusive workplace.

Let’s empower, collaborate, and inspire one another.
Let’s be #BrilliantTogether.

About ISS

ISS empowers investors and companies to build for long-term and sustainable growth by providing high-quality data, analytics, and insight. We are committed to positively impacting the environment and society through our market-leading solutions and leading by example.
Visit our website: https://www.issgovernance.com

View additional open roles: https://www.issgovernance.com/join-the-iss-team/

Institutional Shareholder Services (“ISS”) is committed to fostering, cultivating, and preserving a culture of diversity and inclusion. It is our policy to prohibit discrimination or harassment against any applicant or employee on the basis of race, color, ethnicity, creed, religion, sex, age, height, weight, citizenship status, national origin, social origin, sexual orientation, gender identity or gender expression, pregnancy status, marital status, familial status, mental or physical disability, veteran status, military service or status, genetic information, or any other characteristic protected by law (referred to as “protected status”). All activities including, but not limited to, recruiting and hiring, recruitment advertising, promotions, performance appraisals, training, job assignments, compensation, demotions, transfers, terminations (including layoffs), benefits, and other terms, conditions, and privileges of employment, are and will be administered on a non-discriminatory basis, consistent with all applicable federal, state, and local requirements.","ActiveX Data Objects (ADO)
Add,Compensation
Add,Computer Science
Add,Data Analytics
Add,Data Operations
Add,Data Quality
Add,Data Science
Add,Proxy Voting
Add,VBA Programming
Add,Visual Basic for Applications (VBA)
Add,"
Business Intelligence I Associate Analyst,"Infosys · Taguig, National Capital Region, Philippines 1 week ago · 26 applicants",On-site Full-time,"About the job
Earn competitive salary package plus benefits!

Join Infosys BPM and work for its client who is number 1 Customer Relationship Management (CRM) platform in the world! We are looking for dynamic and detail-oriented, Reports Analyst to join our growing team.

Job Highlights:
HMO for Employee and 2 Dependents (Day 1)
Quarterly performance bonus.
Outstanding career development opportunities & career progression
Candidate must join our Service Desk Campaign

Key Responsibilities:
Provide feasibility analysis for projects undertaken and participate in business requirements discussion with the different operations team/s.
Experience in interacting with business users, self-starter ready to work with minimal inputs.
Ability to design Excel applications that interact robustly with users.
Develop and maintain dashboards using advanced excel (Formula and charts)
VBA (Visual Basics for Application) - Develop and maintain Excel macros, Excel/Access-based, VB Script apps, web-based macro and mainframe automation.
 Key Requirements:
College Graduate
With at least 3years of hands-on experience in Tableau, VBA, SQL, Macro, and Power BI.
Strong proficiency in Excel, including advanced skills in creating charts, pivots, slicers, formulas, and dashboard views.
Good understanding of client server architecture, good interpersonal, analytical, and written communication skills.
Must be amenable to work onsite in BGC, Taguig.

Why Infosys BPM Philippines:
Quarterly Performance Bonus
24 Leaves annually
Competitive HMO and Life Insurance for the employee and 2 eligible dependents upon hire
Outstanding career development opportunities and fast track career progression
Enjoy a fair work-life balance.
Learning and Development Trainings
We value Inclusion and Diversity
Great Place to Work Certified","Analytical Skills
Add,Business Intelligence (BI)
Add,Business Process Management
Add,Business Requirements
Add,Communication
Add,Customer Relationship Management (CRM)
Add,Macros
Add,SQL
Add,Visual Basic for Applications (VBA)
Add,Written Communication
Add,"
Lead Data Analyst,"Payreto · Makati, National Capital Region, Philippines 1 week ago · 61 applicants",Hybrid Full-time Mid-Senior level,"About the job
Position Overview
The Lead Data Analyst is responsible for various roles involving data in the Technology department. This role involves data gathering, management and reporting. This position involves data mining and analysis, as well as statistics and data visualization. He/She will also provide support to the Technology department and work with clients and other departments of the company. He/She will be responsible for presenting findings to clients and coordinating
with different departments to assist them with data.

WHAT WILL YOU DO?

Data Gathering
● Conducts data mining activities, such as collecting and organizing data from multiple sources in order to identify patterns or other useful information.
● Analyzes data to identify patterns, trends, or other meaningful insights in order to make recommendations for improvement.

Data Management
● Develops, documents and implements data control necessary for the installation and administration of the departments on-line data processing systems.
● Reviews and revises the way statistics and information, pertaining to the department are gathered, organized and processed.
● Interprets data to identify trends, patterns, or other meaning in order to make
recommendations for improvement.
● Maintains current knowledge of emerging technologies by attending industry
conferences and seminars and participating in online forums.
● Provides support to other members of the team by researching and compiling data.
● Visualize data reports through dashboards like Google DataStudio, Power BI or other data visualization tools.
● Oversee the creation of dashboards that are needed by the business stakeholders.
● Design & develop user-centric data visualization solutions utilizing complex data sources.
● Continuously innovative on visualization best practices & technologies by reviewing external resources & marketplace
● Supervises the design and preparation of various statistical reports.

Reporting
● Communicates findings to clients, including presenting reports in written or verbal format.
● Administers and coordinates the transfer of data information to other departments
● Assist in other ad hoc topics and projects as assigned by the immediate supervisor

WHAT YOU SHOULD HAVE?
Bachelor’s degree in Business, Mathematics, Computer/Data Science, Information Management, or Statistics is required.
At least 3 years of experience in managing a team or people.
Proficiency in developing reports and dashboards using tools like Google Sheets, Google Data Studio, Excel, Power BI, or other data visualization tools.
Proactive approach to work and excellent interpersonal skills for effective communication with staff at all levels.
Eagerness to learn and adapt to new data visualization techniques, methods, and tools.","Communication
Add,Dashboards
Add,Data Collection
Add,Google Sheets
Add,Information Management
Add,Mathematics
Add,"
Analytics Consultant,"Wells Fargo · Taguig, National Capital Region, Philippines 2 weeks ago · 13 applicants",On-site Full-time Associate,"About the job
About This Role

Wells Fargo is seeking an Analytics Consultant...

In This Role, You Will

Consult with business line and enterprise functions on less complex research
Use functional knowledge to assist in non-model quantitative tools that support strategic decision making
Perform analysis of findings and trends using statistical analysis and document process
Present recommendations to increase revenue, reduce expense, maximize operational efficiency, quality, and compliance
Identify and define business requirements and translate data and business needs into research and recommendations to improve efficiency
Participate in all group technology efforts including design and implementation of database structures, analytics software, storage, and processing
Develop customized reports and ad hoc analyses to make recommendations and provide guidance to less experienced staff
Understand compliance and risk management requirements for supported area
Ensure adherence to data management or data governance regulations and policies
Participate in company initiatives or processes to assist in meeting risk and capital objectives and other strategic goals
Collaborate and consult with more experienced consultants and with partners in technology and other business groups

Required Qualifications, US:

2+ years of Analytics experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education

Required Qualifications, International:

Experience in Analytics, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education

Desired Qualifications:

Experience with quality control reporting with analytics
Knowledge of business process flows and project management
Understanding of research and analysis with strong analytical skills with high attention to detail and accuracy
Experience with Customer Inquiry Management is a plus
Experience in Financial Services products/ Branch Deposit Cash Offers is a plus
Excellent verbal, written, and interpersonal communication skills which includes partner interactions and presentations
Demonstrate ability to drive projects forward in a complex environment
Ability to lead through adversity, adjust and manage to change priorities
Proficient in Sharepoint, Tableau. PowerBI, Teradata
SAS experience is preferred

Job Expectations:

Daily management of the (INR) process which includes escalated requests from branch bankers, contact center and executive office employees.
Develop, execute and implement new Quality Control procedures, reports and analytics to be used by CDEP Control and Product Owner partners. This includes management of SLA for the Incentive Not Received Process.
Provide support for moderately complex campaign fulfillment cases that require ad-hoc analysis using the approved databases for research.
Perform complex financial and economic analysis of QC reports for campaigns using SQL and excel reports for INR and Cash Offers with direction from Senior Analytic Consultants.
Coordinate and execute Cash Bonus Offer campaigns with Campaign Fulfillment team, Marketing and CDEP Partners.
Work in a fast-paced environment with the ability to collaborate with large and small groups including peers, partners and external contractors
Work in diverse team environment who are in multiple locations throughout the US and Asia.
Develop and manage the Quality Control (QC) daily
Amenable to work in McKinley Hill and work on the evening shift

Posting End Date:

7 Feb 2024

Job posting may come down early due to volume of applicants.

We Value Diversity

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.

Applicants With Disabilities

To request a medical accommodation during the application or interview process, visit Disability Inclusion at Wells Fargo .

Drug and Alcohol Policy

Wells Fargo maintains a drug free workplace. Please see our Drug and Alcohol Policy to learn more.

Reference Number

R-324313","Analytical Skills
Add,Analytics
Add,Business Requirements
Add,Communication
Add,Data Governance
Add,Databases
Add,Economic Analysis
Add,Quality Control
Add,Quality Control Reporting
Add,Statistical Analysis
Add,"
Data Analyst,"Macquarie Group · Manila, National Capital Region, Philippines Reposted 2 hours ago · 112 applicants",Hybrid Full-time,"About the job
Manila

Join our Identity and Access Management team, part of the broader Identity and Cyber Security unit within the Technology division. Our team focuses on evaluating, monitoring and remediating cyber risk and making sure we protect what's important and have the data to prove it.

At Macquarie, we are working to create lasting value for our communities, our clients and our people. We are a global financial services group operating in 34 markets and with 54 years of unbroken profitability. You’ll be part of a supportive team where everyone - no matter what role - contributes ideas and drive outcomes.

What role will you play?

As a Data Analyst, you will be responsible for collaborating with key stakeholders to help deliver relevant business insights. This will involve the whole data analysis lifecycle, from gathering requirements, business analysis, sourcing and exploring data, data cleansing, data modelling, and reporting and visualization. You will focus on the development of new cybersecurity metrics used by Technology staff, this is a significant initiative, providing you with the opportunity to make a huge impact.

What You Offer

Proficiency in SQL and Power BI (including dataflows, Power Query M, and DAX)
Hands on experience developing & modifying Alteryx workflows and troubleshooting performance issues
Ability to understand and translate technical requirements into non-technical language
Ability to document outcomes of business and data analysis in a clear and concise manner
Strong experience in data preparation and integration
High attention to detail and sense of accuracy with excellent stakeholder management

We love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at Macquarie we encourage you to apply. 

About The Corporate Operations Group

The Corporate Operations Group brings together specialist support services in Digital Transformation & Data, Technology, Operations, Human Resources, Business Services, Corporate Strategy & Solutions, and the Macquarie Group Foundation. We deliver service excellence to ensure Macquarie is open for business, deliver on transformational change, invest in our people and have deep relationships with our customers.

Our commitment to Diversity, Equity and Inclusion 

The diversity of our people is one of our greatest strengths. An inclusive and equitable environment enables us to deliver innovative and sustainable outcomes for our people, clients, shareholders and communities. From day one, you'll be encouraged to be yourself and supported to perform at your best. If our purpose of ‘empowering people to innovate and invest for a better future’ is as inspiring to you as it is to us, please apply. With the right technology, support and resources, our people can work in a range of flexible ways.

We are committed to providing a working environment that embraces and values diversity, equity and inclusion. We encourage candidates to speak with a member of our recruitment team if you require adjustments to our recruitment process to support you, and the type of working arrangements that would help you thrive.

About Macquarie

A career at Macquarie means you’ll have the opportunity to develop new skills, explore interesting fields and do challenging work that will impact the lives of people around the world—whether it’s accelerating the green energy transition, helping sustain global food supplies, financing social housing projects or investing in essential infrastructure. At Macquarie, we’re empowering people to innovate and invest for a better future.

Macquarie is a global financial group providing clients with asset management, retail and business banking, wealth management, leasing and asset financing, market access, commodity trading, renewables development, specialist advisory, capital raising and principal investment.

Find out more at www.macquarie.com/careers

Job no: COG-974955

Work type: Permanent - Full time

Location: Manila

Category: Mid-senior, Technology

Group: Corporate Operations Group

Division: Technology

Recruiter: Talia Jarosz

Opening Date: 10/11/2023","Data Analysis,Alteryx
Add,Attention to Detail
Add,DAX
Add,Data Analytics
Add,Data Modeling
Add,Data Preparation
Add,Microsoft Power Query
Add,Query Writing
Add,Technical Requirements
Add,"
